stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
58,0.5,1.0,67.56846439978108,,67.55224249977618,67.56846439978108,68.0523795997724,68.0523795997724,68.06796869984828,68.3678859998472,68.51875269995071,right,1.0,1,1,0.4588899000082165,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
59,0.5,1.0,68.53472429979593,,68.51890919986181,68.53472429979593,69.01923149987124,69.01923149987124,69.0353887998499,69.31888979999349,69.56817309977487,left,-1.0,1,1,0.5361285998951644,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
60,0.5,1.0,69.58429249981418,,69.56835359986871,69.58429249981418,70.06821079994552,70.06821079994552,70.08476649993099,70.3681221997831,71.23438499984331,left,-1.0,1,1,1.1498242001980543,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
61,0.5,1.0,71.25049909995869,,71.23454279988073,71.25049909995869,71.73536469996907,71.73536469996907,71.75215449999087,72.03574509988539,72.20328339980915,right,1.0,1,1,0.46569569990970194,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
62,0.5,1.0,72.2189747998491,,72.2035502998624,72.2189747998491,72.71841319999658,72.71841319999658,72.71841319999658,73.01806009979919,73.28548289998434,left,-1.0,1,1,0.5504262999165803,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
63,0.5,1.0,73.30163509980775,,73.2857486999128,73.30163509980775,73.80150619987398,73.80150619987398,73.80150619987398,74.10193859995343,74.25293679977767,left,-1.0,0,0,0.44219669979065657,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
64,0.5,1.5,74.26853219978511,,74.25321449991316,74.26853219978511,74.76834149984643,74.76834149984643,74.76834149984643,75.06761639984325,75.33550829999149,right,1.5,1,1,0.5615910000633448,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
65,0.5,1.5,75.35177999990992,,75.33579279994592,75.35177999990992,75.85185639979318,75.85185639979318,75.85185639979318,76.15142219979316,76.48530979990028,left,-1.5,1,1,0.626610100036487,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
66,0.5,1.5,76.50171849993058,,76.48559429985471,76.50171849993058,76.99962099990807,76.99962099990807,77.0164153999649,77.30146929994226,77.46875499980524,left,-1.5,1,1,0.46661489992402494,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
67,0.5,1.0,77.48458759998903,,77.46902819979005,77.48458759998903,77.98380519985221,77.98380519985221,77.99978919979185,78.28333289991133,78.53462819987908,right,1.0,1,1,0.5467799999751151,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
68,0.5,1.0,78.55148199992254,,78.53491889988072,78.55148199992254,79.04958159988746,79.04958159988746,79.0662480997853,79.35031889984384,79.83517809980549,left,-1.0,1,1,0.7774115998763591,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
69,0.5,1.0,79.8514001998119,,79.83544719987549,79.8514001998119,80.34955980000086,80.34955980000086,80.36595179978758,80.64989459980279,80.85104369977489,left,-1.0,1,1,0.4899341999553144,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
70,0.5,1.0,80.86728529981337,,80.85131339984946,80.86728529981337,81.351169699803,81.351169699803,81.36754809995182,81.66670029982924,81.81753179989755,right,1.0,1,1,0.4556128999684006,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
71,0.5,1.0,81.83381649991497,,81.81778629985638,81.83381649991497,82.31705159996636,82.31705159996636,82.33271149988286,82.61728069977835,83.0845617998857,left,-1.0,0,0,0.7580053999554366,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
72,0.5,1.5,83.10074549983256,,83.08485559979454,83.10074549983256,83.58390789991245,83.58390789991245,83.60072899982333,83.90054379985668,84.11783139989711,right,1.5,1,1,0.5266535999253392,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
73,0.5,1.5,84.13388479989953,,84.11811739997938,84.13388479989953,84.63338539982215,84.63338539982215,84.63338539982215,84.93352829990909,85.15245189983398,right,1.5,1,1,0.5164447999559343,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
74,0.5,1.5,85.16678029997274,,85.15278779994696,85.16678029997274,85.66578059992753,85.66578059992753,85.66578059992753,85.96699929982424,86.13497519982047,right,1.5,1,1,0.46667360002174973,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
75,0.5,1.0,86.15019349986687,,86.13525169994682,86.15019349986687,86.64988419995643,86.64988419995643,86.64988419995643,86.95000239997171,87.15067209978588,right,1.0,1,1,0.4895136998966336,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
76,0.5,1.0,87.16653439984657,,87.15097809978761,87.16653439984657,87.66634759982117,87.66634759982117,87.66634759982117,87.9815074999351,88.1838451998774,right,1.0,1,1,0.5069806000683457,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
77,0.5,1.0,88.19966589985415,,88.18411889998242,88.19966589985415,88.69948640000075,88.69948640000075,88.69948640000075,89.0001965998672,89.15024369978346,right,1.0,1,1,0.44559350004419684,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
78,0.5,1.0,89.1661130997818,,89.15052809985355,89.1661130997818,89.66589389997534,89.66589389997534,89.66589389997534,89.98247389984317,90.03469219990075,right,1.0,1,1,0.36630330001935363,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
79,0.5,1.0,90.04943059990183,,90.03496299986728,90.04943059990183,90.54921009996906,90.54921009996906,90.54921009996906,90.84947229991667,91.0494329999201,right,1.0,1,1,0.49528000014834106,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
80,0.5,1.0,91.06554019986652,,91.04970569978468,91.06554019986652,91.56595259997994,91.56595259997994,91.56595259997994,91.86596889980137,92.50036429986358,right,1.0,1,1,0.9266725000925362,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
81,0.5,1.0,92.5155731998384,,92.50066469982266,92.5155731998384,93.01540439995006,93.01540439995006,93.01540439995006,93.31581449997611,93.56570619996637,left,-1.0,1,1,0.5358255000319332,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
82,0.5,1.0,93.58203359995969,,93.56599699985236,93.58203359995969,94.06574209989049,94.06574209989049,94.0818637998309,94.36525959987193,94.61571379983798,right,1.0,1,1,0.5338028001133353,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
83,0.5,1.0,94.63169899978675,,94.6159827997908,94.63169899978675,95.11521109985188,95.11521109985188,95.13221649988554,95.41500549996272,95.71555929980241,left,-1.0,1,1,0.592529600020498,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
84,0.5,1.0,95.73171459999867,,95.7158306997735,95.73171459999867,96.21536599984393,96.21536599984393,96.23155589983799,96.51493659988046,96.5499519999139,right,1.0,1,1,0.33385930000804365,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
85,0.5,1.0,96.56494629988447,,96.55034590000287,96.56494629988447,97.06464509991929,97.06464509991929,97.06464509991929,97.36458269995637,98.11542529985309,right,1.0,0,0,1.037609999999404,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
86,0.5,1.5,98.13148419978097,,98.11570109985769,98.13148419978097,98.61496939999051,98.61496939999051,98.63155379984528,98.91465989989229,99.01499899988994,left,-1.5,1,1,0.3929250999353826,554322,001,2025-09-02_17h30.28.649,staircase,,2025.1.1,60.100885344697375,2025-09-02 17h30.29.870478 +0530,
