trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,fixation.stopped,circle1.started,circle2.started,circle3.started,circle4.started,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
38,2,g,learn,1,67,67,0,g,1,1.493427800014615,None,0,67,67,37,121.09027580008842,,,,,,,,,121.07697940000799,121.09027580008842,121.19003080006223,122.09058299998287,122.09058299998287,122.09058299998287,122.09058299998287,122.09058299998287,122.69090580008924,1,g,1,1.493427800014615,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
61,3,f,learn,2,68,68,0,h,0,1.2865021000616252,None,0,68,68,60,122.70690250000916,,,,,,,,,122.69257730001118,122.70690250000916,122.79022770002484,123.70709660009015,123.69030750007369,123.69030750007369,123.69030750007369,123.69030750007369,124.09044719999656,0,h,0,1.2865021000616252,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
70,4,g,learn,2,69,69,0,j,0,1.4097496001049876,None,0,69,69,69,124.10667240002658,,,,,,,,,124.09163220005576,124.10667240002658,124.18990240001585,125.10674820002168,125.09020299999975,125.09020299999975,125.09020299999975,125.09020299999975,125.60726830002386,0,j,0,1.4097496001049876,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
15,4,h,learn,1,70,70,0,j,0,1.4474788999650627,None,0,70,70,14,125.62306830007583,,,,,,,,,125.60844730003737,125.62306830007583,125.70637310005259,126.62331549997907,126.62331549997907,126.62331549997907,126.62331549997907,126.62331549997907,127.15691330004483,0,j,0,1.4474788999650627,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
29,2,f,learn,1,71,71,0,g,0,1.5013308000052348,None,0,71,71,28,127.17292040004395,,,,,,,,,127.15851199999452,127.17292040004395,127.27301080001052,128.17312540009152,128.15629459999036,128.15629459999036,128.15629459999036,128.15629459999036,128.79025269998237,0,g,0,1.5013308000052348,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
24,3,j,learn,1,72,72,0,h,0,1.3329827999696136,None,0,72,72,23,128.8059707999928,,,,,,,,,128.79236680001486,128.8059707999928,128.88928440003656,129.80619060003664,129.80619060003664,129.80619060003664,129.80619060003664,129.80619060003664,130.23994650004897,0,h,0,1.3329827999696136,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
57,3,f,learn,2,73,73,0,h,0,1.6220419000601396,None,0,73,73,56,130.25540680007543,,,,,,,,,130.2416010000743,130.25540680007543,130.3390870000003,131.25603799999226,131.25603799999226,131.25603799999226,131.25603799999226,131.25603799999226,131.97310270008165,0,h,0,1.6220419000601396,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
30,2,g,learn,1,74,74,0,g,1,1.8719197999453172,None,0,74,74,29,131.98890150000807,,,,,,,,,131.97479420003947,131.98890150000807,132.0885363999987,132.98889899998903,132.98889899998903,132.98889899998903,132.98889899998903,132.98889899998903,133.97278320009355,1,g,1,1.8719197999453172,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
39,3,h,learn,1,75,75,0,h,1,1.369166799937375,None,0,75,75,38,133.98845270008314,,,,,,,,,133.97441140003502,133.98845270008314,134.07197260006797,134.9886753000319,134.9886753000319,134.9886753000319,134.9886753000319,134.9886753000319,135.45595670002513,1,h,1,1.369166799937375,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
74,3,g,learn,2,76,76,0,h,0,1.7925025000004098,None,0,76,76,73,135.4715070000384,,,,,,,,,135.4577764000278,135.4715070000384,135.57171450008173,136.47174429998267,136.47174429998267,136.47174429998267,136.47174429998267,136.47174429998267,137.3723359000869,0,h,0,1.7925025000004098,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
