trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,thanks.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
2,2,g,learn,1,54,54,0,g,1,3.091425899998285,None,0,54,54,1,156.72121340001468,,,,,,,,,156.70705129997805,156.72121340001468,156.82106300001033,157.70398390002083,157.70398390002083,157.70398390002083,157.70398390002083,157.721101299976,159.92151929996908,1,g,1,3.091425899998285,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
20,4,j,learn,1,55,55,0,j,1,2.1098137999651954,None,0,55,55,19,159.93730029999278,,,,,,,,,159.9233111999929,159.93730029999278,160.03708109998843,160.9371950000059,160.9371950000059,160.9371950000059,160.9371950000059,160.9371950000059,162.15441979997559,1,j,1,2.1098137999651954,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
79,1,h,learn,2,56,56,0,f,0,1.5373262999928556,None,0,56,56,78,162.16995660000248,,,,,,,,,162.15664589998778,162.16995660000248,162.2535838999902,163.15337690000888,163.15337690000888,163.15337690000888,163.15337690000888,163.17000270000426,163.8039082000032,0,f,0,1.5373262999928556,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
47,1,h,learn,2,57,57,0,f,0,2.9843954000389203,None,0,57,57,46,163.81977300002472,,,,,,,,,163.80575659999158,163.81977300002472,163.90321790002054,164.80322379997233,164.80322379997233,164.80322379997233,164.80322379997233,164.8201486999751,166.90343519998714,0,f,0,2.9843954000389203,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
77,1,f,learn,2,58,58,0,f,1,1.8296445999876596,None,0,58,58,76,166.91958769998746,,,,,,,,,166.9053226999822,166.91958769998746,167.00270569999702,167.9193907000008,167.9193907000008,167.9193907000008,167.9193907000008,167.9193907000008,168.83676380000543,1,f,1,1.8296445999876596,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
13,1,f,learn,1,59,59,0,f,1,1.3666547000175342,None,0,59,59,12,168.852172599989,,,,,,,,,168.83929269999499,168.852172599989,168.9523433999857,169.85209890000988,169.85209890000988,169.85209890000988,169.85209890000988,169.85209890000988,170.319837499992,1,f,1,1.3666547000175342,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
14,4,g,learn,1,60,60,0,j,0,1.3662844999926165,None,0,60,60,13,170.33569149998948,,,,,,,,,170.32156640000176,170.33569149998948,170.43554540001787,171.33529939997243,171.33529939997243,171.33529939997243,171.33529939997243,171.33529939997243,171.8028309000074,0,j,0,1.3662844999926165,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
80,1,j,learn,2,61,61,0,f,0,1.3662536999909207,None,0,61,61,79,171.8187475000159,,,,,,,,,171.80459569999948,171.8187475000159,171.9021204999881,172.80186020000838,172.80186020000838,172.80186020000838,172.80186020000838,172.81864949996816,173.26950160000706,0,f,0,1.3662536999909207,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
68,3,j,learn,2,62,62,0,h,0,1.388385800004471,None,0,62,62,67,173.28501130000222,,,,,,,,,173.2712729999912,173.28501130000222,173.38523610000266,174.28511810000055,174.28511810000055,174.28511810000055,174.28511810000055,174.28511810000055,174.78577560000122,0,h,0,1.388385800004471,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
74,3,g,learn,2,63,63,0,h,0,1.5973439999506809,None,0,63,63,73,174.80140980001306,,,,,,,,,174.78756650001742,174.80140980001306,174.88492350000888,175.7849021999864,175.7849021999864,175.7849021999864,175.7849021999864,175.80154700001003,176.4857715999824,0,h,0,1.5973439999506809,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
62,1,g,learn,2,64,64,0,f,0,1.4504304000292905,None,0,64,64,61,176.50114569999278,,,,,,,,,176.48757250001654,176.50114569999278,176.60123169998406,177.50113639998017,177.50113639998017,177.50113639998017,177.50113639998017,177.50113639998017,178.06852189998608,0,f,0,1.4504304000292905,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
3,1,h,learn,1,65,65,0,f,0,1.3165055999998003,None,0,65,65,2,178.08425000001444,,,,,,,,,178.0704156999709,178.08425000001444,178.16751409997232,179.08433979999973,179.08433979999973,179.08433979999973,179.08433979999973,179.08433979999973,179.48518730001524,0,f,0,1.3165055999998003,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
56,3,j,learn,2,66,66,0,h,0,1.4913092000060715,None,0,66,66,55,179.50046840001596,,,,,,,,,179.48694289999548,179.50046840001596,179.60071009997046,180.483897899976,180.483897899976,180.483897899976,180.483897899976,180.50074519996997,181.10119289997965,0,h,0,1.4913092000060715,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
72,1,j,learn,2,67,67,0,f,0,1.623307499976363,None,0,67,67,71,181.11727839999367,,,,,,,,,181.10296749998815,181.11727839999367,181.20056989998557,182.11687799997162,182.11687799997162,182.11687799997162,182.11687799997162,182.11687799997162,182.83456460002344,0,f,0,1.623307499976363,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
4,3,j,learn,1,68,68,0,h,0,1.4244717999827117,None,0,68,68,3,182.85049510002136,,,,,,,,,182.83633189997636,182.85049510002136,182.95012009999482,183.8501584000187,183.8501584000187,183.8501584000187,183.8501584000187,183.8501584000187,184.3842500000028,0,h,0,1.4244717999827117,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
31,4,h,learn,1,69,69,0,j,0,1.436895600054413,None,0,69,69,30,184.3999882999924,,,,,,,,,184.38604770001257,184.3999882999924,184.48317670001416,185.3998926000204,185.3998926000204,185.3998926000204,185.3998926000204,185.3998926000204,185.93417129997397,0,j,0,1.436895600054413,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
6,4,g,learn,1,70,70,0,j,0,1.3868310999823734,None,0,70,70,5,185.94975259999046,,,,,,,,,185.93594290001784,185.94975259999046,186.04977769998368,186.94967840000754,186.94967840000754,186.94967840000754,186.94967840000754,186.94967840000754,187.4502992000198,0,j,0,1.3868310999823734,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
25,1,f,learn,1,71,71,0,f,1,1.6058668000041507,None,0,71,71,24,187.466196399997,,,,,,,,,187.45208889996866,187.466196399997,187.54950939997798,188.46617209998658,188.46617209998658,188.46617209998658,188.46617209998658,188.46617209998658,189.1668592999922,1,f,1,1.6058668000041507,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
42,2,g,learn,2,72,72,0,g,1,1.5189669000101276,None,0,72,72,41,189.18268520000856,,,,,,,,,189.16863009997178,189.18268520000856,189.28276089997962,190.1825265000225,190.1825265000225,190.1825265000225,190.1825265000225,190.1825265000225,190.8167021999834,1,g,1,1.5189669000101276,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
30,2,g,learn,1,73,73,0,g,1,1.7336671999655664,None,0,73,73,29,190.8324545000214,,,,,,,,,190.81852640002035,190.8324545000214,190.93243200000143,191.83237550000194,191.83237550000194,191.83237550000194,191.83237550000194,191.83237550000194,192.68289950001054,1,g,1,1.7336671999655664,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
16,4,j,learn,1,74,74,0,j,1,1.334577600006014,None,0,74,74,15,192.69869960000506,,,,,,,,,192.68469999998342,192.69869960000506,192.7820844000089,193.6819229000248,193.6819229000248,193.6819229000248,193.6819229000248,193.69859400001587,194.1326207999955,1,j,1,1.334577600006014,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
38,2,g,learn,1,75,75,0,g,1,1.5017882999964058,None,0,75,75,37,194.14851620001718,,,,,,,,,194.1344337000046,194.14851620001718,194.2317859000177,195.13180259999353,195.13180259999353,195.13180259999353,195.13180259999353,195.1483925000066,195.74910499999532,1,g,1,1.5017882999964058,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
63,4,h,learn,2,76,76,0,j,0,1.4617112000123598,None,0,76,76,62,195.76501370000187,,,,,,,,,195.750939199992,195.76501370000187,195.8649217999773,196.76480359997367,196.76480359997367,196.76480359997367,196.76480359997367,196.76480359997367,197.33227449998958,0,j,0,1.4617112000123598,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
76,3,j,learn,2,77,77,0,h,0,1.5829947000020184,None,0,77,77,75,197.34791750001023,,,,,,,,,197.3340501000057,197.34791750001023,197.43135749996873,198.34789630002342,198.34789630002342,198.34789630002342,198.34789630002342,198.34789630002342,199.01560450001853,0,h,0,1.5829947000020184,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
37,4,f,learn,1,78,78,0,j,0,1.6149443000322208,None,0,78,78,36,199.0311311999685,,,,,,,,,199.01733230001992,199.0311311999685,199.13110330002382,200.03075279999757,200.03075279999757,200.03075279999757,200.03075279999757,200.03075279999757,200.7476530999993,0,j,0,1.6149443000322208,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
32,3,j,learn,1,79,79,0,h,0,1.6983977999771014,None,0,79,79,31,200.76427280000644,,,,,,,,,200.74944200000027,200.76427280000644,200.84724829997867,201.7473306999891,201.7473306999891,201.7473306999891,201.7473306999891,201.76406989997486,202.54759869998088,0,h,0,1.6983977999771014,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
15,4,h,learn,1,80,0,1,j,0,3.14316969999345,None,1,0,80,14,202.56387070001801,,,,,,,,,202.55054550000932,202.56387070001801,202.6469951000181,203.5468675000011,203.5468675000011,203.5468675000011,203.5468675000011,203.5637326000142,205.79739279998466,0,j,0,3.14316969999345,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
77,1,f,learn,2,81,1,1,f,1,1.7269345999811776,None,1,1,81,76,205.81337559997337,,,,,,,,,205.8000563000096,205.81337559997337,205.89633269998012,206.79622939997353,206.79622939997353,206.79622939997353,206.79622939997353,206.8133982999716,207.63064300001133,1,f,1,1.7269345999811776,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
22,3,g,learn,1,82,2,1,h,0,1.4243882999871857,None,1,2,82,21,207.64627450000262,,,,,,,,,207.6331737000146,207.64627450000262,207.74637170002097,208.64620610000566,208.64620610000566,208.64620610000566,208.64620610000566,208.64620610000566,209.18021289998433,0,h,0,1.4243882999871857,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
32,3,j,learn,1,83,3,1,h,0,1.4789751000353135,None,1,3,83,31,209.19604319997597,,,,,,,,,209.18253370001912,209.19604319997597,209.27920300001279,210.19597060000524,210.19597060000524,210.19597060000524,210.19597060000524,210.19597060000524,210.76346170000033,0,h,0,1.4789751000353135,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
74,3,g,learn,2,84,4,1,h,0,1.438554499996826,None,1,4,84,73,210.77912780002225,,,,,,,,,210.7660109999706,210.77912780002225,210.87900750001427,211.77883959998144,211.77883959998144,211.77883959998144,211.77883959998144,211.77883959998144,212.32927119999658,0,h,0,1.438554499996826,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
2,2,g,learn,1,85,5,1,g,1,1.6391368000186048,None,1,5,85,1,212.34516670001904,,,,,,,,,212.3321597999893,212.34516670001904,212.42864880000707,213.32874899997842,213.32874899997842,213.32874899997842,213.32874899997842,213.3454796000151,214.0794034000137,1,g,1,1.6391368000186048,None,,,,,,,,participant2,001,2025-11-18_17h38.50.780,Solo Project,,2025.1.1,59.99854805202017,2025-11-18 17h39.08.695843 +0530,
