trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,end_key.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,2,g,learn,2,36,36,0,g,1,1.7969439000007696,None,0,36,36,49,75.39680209994549,,,,,,,,,75.38167419994716,75.39680209994549,75.49653839995153,76.38013489998411,76.38013489998411,76.38013489998411,76.38013489998411,76.39659299998311,77.2968886999879,1,g,1,1.7969439000007696,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
23,2,h,learn,1,37,37,0,g,0,1.415394900017418,None,0,37,37,22,77.31285399995977,,,,,,,,,77.29799559997628,77.31285399995977,77.39632519998122,78.29641409998294,78.29641409998294,78.29641409998294,78.29641409998294,78.31280479999259,78.81307969999034,0,g,0,1.415394900017418,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
37,4,f,learn,1,38,38,0,j,0,1.6417191000073217,None,0,38,38,36,78.82938309997553,,,,,,,,,78.81391219998477,78.82938309997553,78.91245589999016,79.81308890000219,79.81308890000219,79.81308890000219,79.81308890000219,79.82980539998971,80.56359449995216,0,j,0,1.6417191000073217,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
66,3,g,learn,2,39,39,0,h,0,2.0361015999806114,None,0,39,39,65,80.57962749997387,,,,,,,,,80.56615019997116,80.57962749997387,80.66289259999758,81.56253499997547,81.56253499997547,81.56253499997547,81.56253499997547,81.5795960999676,82.7131050999742,0,h,0,2.0361015999806114,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
75,1,h,learn,2,40,40,0,f,0,1.6054326000157744,None,0,40,40,74,82.72874469996896,,,,,,,,,82.71623199997703,82.72874469996896,82.81238259997917,83.71221089997562,83.71221089997562,83.71221089997562,83.71221089997562,83.72918759996537,84.42987359996187,0,f,0,1.6054326000157744,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
4,3,j,learn,1,41,41,0,h,0,2.365847199980635,None,0,41,41,3,84.445733200002,,,,,,,,,84.43164659995819,84.445733200002,84.529002700001,85.44538429996464,85.44538429996464,85.44538429996464,85.44538429996464,85.44538429996464,86.91197089996422,0,h,0,2.365847199980635,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
22,3,g,learn,1,42,42,0,h,0,1.5211153000127524,None,0,42,42,21,86.92824769997969,,,,,,,,,86.91336589999264,86.92824769997969,87.01127689995337,87.91132019995712,87.91132019995712,87.91132019995712,87.91132019995712,87.92813459999161,88.54510879999725,0,h,0,1.5211153000127524,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
20,4,j,learn,1,43,43,0,j,1,1.4639526999671943,None,0,43,43,19,88.56104969995795,,,,,,,,,88.5462573999539,88.56104969995795,88.64468089997536,89.54445259994827,89.54445259994827,89.54445259994827,89.54445259994827,89.56112889997894,90.11121339997044,1,j,1,1.4639526999671943,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
61,3,f,learn,2,44,44,0,h,0,2.1825930000049993,None,0,44,44,60,90.1276222000015,,,,,,,,,90.11205080000218,90.1276222000015,90.2110295999446,91.11103439994622,91.11103439994622,91.11103439994622,91.11103439994622,91.12751199997729,92.39481649996014,0,h,0,2.1825930000049993,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
67,3,h,learn,2,45,45,0,h,1,1.4804860000149347,None,0,45,45,66,92.41055299999425,,,,,,,,,92.39682209998136,92.41055299999425,92.49412369995844,93.41024599998491,93.41024599998491,93.41024599998491,93.41024599998491,93.41024599998491,93.97771289997036,1,h,1,1.4804860000149347,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
62,1,g,learn,2,46,46,0,f,0,1.495017699955497,None,0,46,46,61,93.99375519994646,,,,,,,,,93.97905629995512,93.99375519994646,94.07710479997331,94.99355209997157,94.99355209997157,94.99355209997157,94.99355209997157,94.99355209997157,95.5773386999499,0,f,0,1.495017699955497,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
28,2,j,learn,1,47,47,0,g,0,1.7466106999781914,None,0,47,47,27,95.59334369999124,,,,,,,,,95.57840609998675,95.59334369999124,95.67675419995794,96.57679139997344,96.57679139997344,96.57679139997344,96.57679139997344,96.59325389994774,97.42671659996267,0,g,0,1.7466106999781914,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
74,3,g,learn,2,48,48,0,h,0,1.8688460999983363,None,0,48,48,73,97.44305159995565,,,,,,,,,97.42740349995438,97.44305159995565,97.52632929995889,98.42660029995022,98.42660029995022,98.42660029995022,98.42660029995022,98.44326949998504,99.40973799995845,0,h,0,1.8688460999983363,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
55,2,h,learn,2,49,49,0,g,0,1.8233547999989241,None,0,49,49,54,99.42614169995068,,,,,,,,,99.41051229997538,99.42614169995068,99.5096284999745,100.40950549999252,100.40950549999252,100.40950549999252,100.40950549999252,100.42624379997142,101.34295649995329,0,g,0,1.8233547999989241,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
26,4,g,learn,1,50,50,0,j,0,1.592717099993024,None,0,50,50,25,101.35910709999735,,,,,,,,,101.3438182999962,101.35910709999735,101.442498599994,102.34237659996143,102.34237659996143,102.34237659996143,102.34237659996143,102.35891089995857,103.04298539995216,0,j,0,1.592717099993024,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
54,4,g,learn,2,51,51,0,j,0,1.547379900002852,None,0,51,51,53,103.05884839995997,,,,,,,,,103.04449089994887,103.05884839995997,103.14219459996093,104.05869769997662,104.05869769997662,104.05869769997662,104.05869769997662,104.05869769997662,104.69223190000048,0,j,0,1.547379900002852,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
